,timepoint,time (s),index range around maximum,values range around maximum,max parabola,deviation (pixel),deviation (nm),threshold (nm),thresholded deviation
0,83.0,19.5,"(16, 17, 18, 19, 20, 21, 22)",[2137 2408 2659 2882 2852 2265 1466],18.685546486163652,1.4040929077149968,144.90238807618766,418.04051352186065,True
0,84.0,19.75,"(16, 17, 18, 19, 20, 21, 22)",[2060 2336 2648 2891 2785 2129 1347],18.66531215367566,1.3838585752270056,142.814204963427,418.04051352186065,True
0,85.0,20.0,"(16, 17, 18, 19, 20, 21, 22)",[2027 2291 2618 2915 2845 2161 1376],18.73001631321371,1.448562734765055,149.49167422775366,418.04051352186065,True
0,86.0,20.25,"(16, 17, 18, 19, 20, 21, 22)",[2031 2285 2635 2945 2879 2201 1391],18.753300035676062,1.4718464572274073,151.89455438586845,418.04051352186065,True
0,87.0,20.5,"(16, 17, 18, 19, 20, 21, 22)",[2144 2388 2717 3021 2912 2198 1380],18.672672011276543,1.3912184328278876,143.573742267838,418.04051352186065,True
0,88.0,20.75,"(16, 17, 18, 19, 20, 21, 22)",[2084 2252 2551 2837 2721 2090 1309],18.63540543190509,1.3539518534564365,139.72783127670425,418.04051352186065,True
0,89.0,21.0,"(16, 17, 18, 19, 20, 21, 22)",[2021 2266 2469 2713 2683 2078 1298],18.640018531864516,1.3585649534158613,140.2039031925169,418.04051352186065,True
0,90.0,21.25,"(16, 17, 18, 19, 20, 21, 22)",[1906 2091 2337 2651 2596 2013 1307],18.727886056971517,1.446432478522862,149.27183178355935,418.04051352186065,True
0,91.0,21.5,"(16, 17, 18, 19, 20, 21, 22)",[1852 1975 2295 2660 2625 1991 1272],18.78865030674847,1.5071967282998138,155.54270236054077,418.04051352186065,True
0,92.0,21.75,"(16, 17, 18, 19, 20, 21, 22)",[1868 1991 2218 2492 2462 1933 1295],18.708714756499457,1.4272611780508022,147.2933535748428,418.04051352186065,True
0,93.0,22.0,"(16, 17, 18, 19, 20, 21, 22)",[1845 1941 2153 2449 2444 1961 1299],18.75079445786196,1.4693408794133056,151.63597875545315,418.04051352186065,True
0,94.0,22.25,"(17, 18, 19, 20, 21, 22, 23)",[1920 2122 2481 2490 1936 1306  941],19.138670559173523,1.8572169807248677,191.66479241080637,418.04051352186065,True
0,95.0,22.5,"(17, 18, 19, 20, 21, 22, 23)",[1814 2009 2359 2427 1941 1266  911],19.229711677613214,1.9482580991645584,201.06023583378243,418.04051352186065,True
0,96.0,22.75,"(17, 18, 19, 20, 21, 22, 23)",[1801 2013 2301 2496 2160 1469  971],19.413221836541453,2.131768258092798,219.99848423517673,418.04051352186065,True
0,97.0,23.0,"(17, 18, 19, 20, 21, 22, 23)",[1762 2039 2320 2499 2160 1460  978],19.43457271980274,2.153119141354086,222.20189538774167,418.04051352186065,True
0,98.0,23.25,"(17, 18, 19, 20, 21, 22, 23)",[1763 2014 2287 2395 2129 1483  991],19.41444027379108,2.1329866953424244,220.1242269593382,418.04051352186065,True
0,99.0,23.5,"(17, 18, 19, 20, 21, 22, 23)",[1701 1929 2296 2430 2097 1454  995],19.479721838836344,2.198268260387689,226.8612844720095,418.04051352186065,True
0,100.0,23.75,"(17, 18, 19, 20, 21, 22, 23)",[1903 2018 2237 2363 2052 1464  996],19.230444785276017,1.9489912068273618,201.13589254458375,418.04051352186065,True
0,101.0,24.0,"(17, 18, 19, 20, 21, 22, 23)",[1785 2014 2363 2530 2110 1402  949],19.394315533488648,2.1128619550399925,218.04735376012724,418.04051352186065,True
0,102.0,24.25,"(17, 18, 19, 20, 21, 22, 23)",[1740 2060 2461 2628 2200 1487 1036],19.50273198304281,2.2212784045941554,229.23593135411681,418.04051352186065,True
0,103.0,24.5,"(17, 18, 19, 20, 21, 22, 23)",[1940 2212 2474 2517 2037 1321  930],19.148902821316554,1.8674492428678988,192.72076186396717,418.04051352186065,True
0,104.0,24.75,"(16, 17, 18, 19, 20, 21, 22)",[1867 2061 2286 2542 2477 1915 1243],18.667733243516345,1.3862796650676898,143.0640614349856,418.04051352186065,True
0,105.0,25.0,"(17, 18, 19, 20, 21, 22, 23)",[2075 2342 2702 2709 2032 1249  898],19.05824240636974,1.7767888279210844,183.3646070414559,418.04051352186065,True
0,106.0,25.25,"(16, 17, 18, 19, 20, 21, 22)",[1851 2103 2387 2720 2659 2006 1300],18.769804150833092,1.4883505723844372,153.59777907007393,418.04051352186065,True
0,107.0,25.5,"(16, 17, 18, 19, 20, 21, 22)",[1925 2174 2543 2848 2714 2027 1287],18.724804106998118,1.4433505285494626,148.95377454630454,418.04051352186065,True
0,108.0,25.75,"(16, 17, 18, 19, 20, 21, 22)",[1951 2235 2612 2951 2730 1930 1166],18.65124540628829,1.3697918278396344,141.36251663305026,418.04051352186065,True
0,109.0,26.0,"(16, 17, 18, 19, 20, 21, 22)",[1966 2259 2659 2930 2591 1791 1133],18.561210855949902,1.279757277501247,132.0709510381287,418.04051352186065,True
0,110.0,26.25,"(16, 17, 18, 19, 20, 21, 22)",[1918 2194 2546 2773 2472 1715 1106],18.528206058407402,1.2467524799587473,128.6648559317427,418.04051352186065,True
0,111.0,26.5,"(16, 17, 18, 19, 20, 21, 22)",[1748 1959 2384 2747 2545 1829 1137],18.744669603524233,1.4632160250755781,151.00389378779965,418.04051352186065,True
0,112.0,26.75,"(16, 17, 18, 19, 20, 21, 22)",[1811 1962 2223 2512 2378 1785 1171],18.64450285202998,1.3630492735813249,140.66668503359273,418.04051352186065,True
0,113.0,27.0,"(16, 17, 18, 19, 20, 21, 22)",[1692 1881 2326 2659 2411 1691 1097],18.713813979086414,1.4323604006377586,147.81959334581668,418.04051352186065,True
0,114.0,27.25,"(16, 17, 18, 19, 20, 21, 22)",[1775 2025 2430 2609 2258 1576 1050],18.530843373493983,1.249389795045328,128.93702684867787,418.04051352186065,True
0,115.0,27.5,"(16, 17, 18, 19, 20, 21, 22)",[1685 1896 2310 2616 2407 1750 1137],18.737410756782495,1.4559571783338399,150.25478080405227,418.04051352186065,True
0,116.0,27.75,"(16, 17, 18, 19, 20, 21, 22)",[1666 1869 2188 2586 2513 1891 1255],18.86831944726682,1.5868658688181654,163.76455766203466,418.04051352186065,True
0,117.0,28.0,"(16, 17, 18, 19, 20, 21, 22)",[1608 1890 2203 2560 2530 1962 1355],18.955112219451376,1.6736586410027208,172.72157175148078,418.04051352186065,True
0,118.0,28.25,"(16, 17, 18, 19, 20, 21, 22)",[1570 1909 2314 2642 2595 1989 1313],18.95450367647059,1.6730500980219354,172.65877011586372,418.04051352186065,True
0,119.0,28.5,"(17, 18, 19, 20, 21, 22, 23)",[1769 2146 2564 2566 1981 1290  947],19.307927124721328,2.0264735462726726,209.13206997533982,418.04051352186065,True
0,120.0,28.75,"(17, 18, 19, 20, 21, 22, 23)",[1676 2073 2581 2699 2170 1411 1013],19.518614270941,2.2371606924923455,230.87498346521005,418.04051352186065,True
0,121.0,29.0,"(17, 18, 19, 20, 21, 22, 23)",[1739 2113 2522 2560 2024 1339  945],19.364888123924217,2.083434545475562,215.010445093078,418.04051352186065,True
0,122.0,29.25,"(17, 18, 19, 20, 21, 22, 23)",[1769 2145 2560 2614 2107 1454 1029],19.418887933505246,2.137434355056591,220.5832254418402,418.04051352186065,True
0,123.0,29.5,"(17, 18, 19, 20, 21, 22, 23)",[1726 1999 2454 2589 2141 1507 1071],19.518215833005076,2.236762254556421,230.83386467022265,418.04051352186065,True
0,124.0,29.75,"(17, 18, 19, 20, 21, 22, 23)",[1716 1998 2454 2647 2247 1508 1000],19.549770497704934,2.2683169192562787,234.09030606724795,418.04051352186065,True
0,125.0,30.0,"(17, 18, 19, 20, 21, 22, 23)",[1727 2107 2568 2643 2075 1347  990],19.419567607182064,2.1381140287334084,220.65336776528773,418.04051352186065,True
0,126.0,30.25,"(17, 18, 19, 20, 21, 22, 23)",[1682 2078 2573 2641 2050 1315 1000],19.44275605552023,2.161302477071576,223.04641563378667,418.04051352186065,True
0,127.0,30.5,"(17, 18, 19, 20, 21, 22, 23)",[1646 2012 2559 2766 2276 1507 1016],19.61053103842071,2.329077459972055,240.36079386911607,418.04051352186065,True
0,128.0,30.75,"(17, 18, 19, 20, 21, 22, 23)",[1781 2122 2529 2699 2303 1534  995],19.50578338590952,2.2243298074608653,229.5508361299613,418.04051352186065,True
0,129.0,31.0,"(17, 18, 19, 20, 21, 22, 23)",[1712 2061 2459 2634 2240 1485 1055],19.53574736062229,2.254293782173633,232.64311832031893,418.04051352186065,True
0,130.0,31.25,"(17, 18, 19, 20, 21, 22, 23)",[1761 2184 2677 2745 2176 1411 1010],19.44796302636079,2.1665094479121336,223.5837750245322,418.04051352186065,True
0,131.0,31.5,"(17, 18, 19, 20, 21, 22, 23)",[1786 2203 2686 2687 2065 1355 1014],19.368284701390724,2.086831122942069,215.3609718876215,418.04051352186065,True
0,132.0,31.75,"(17, 18, 19, 20, 21, 22, 23)",[1713 2102 2573 2637 2047 1318  939],19.405812701829873,2.1243591233812182,219.23386153294172,418.04051352186065,True
0,133.0,32.0,"(17, 18, 19, 20, 21, 22, 23)",[1736 2155 2656 2695 2107 1372  981],19.427899686520327,2.1464461080716717,221.51323835299652,418.04051352186065,True
0,134.0,32.25,"(16, 17, 18, 19, 20, 21, 22)",[1557 1783 2216 2649 2641 2081 1385],19.07243951420102,1.7909859357523636,184.82974856964393,418.04051352186065,True
0,135.0,32.5,"(17, 18, 19, 20, 21, 22, 23)",[1733 2116 2536 2587 2028 1367  978],19.38898426323314,2.1075306847844857,217.49716666975894,418.04051352186065,True
0,136.0,32.75,"(17, 18, 19, 20, 21, 22, 23)",[1719 2035 2483 2673 2221 1500 1047],19.542372881355877,2.2609193029072223,233.32687206002532,418.04051352186065,True
0,137.0,33.0,"(17, 18, 19, 20, 21, 22, 23)",[1864 2075 2470 2643 2131 1450 1080],19.387726566545773,2.1062729880971176,217.36737237162254,418.04051352186065,True
0,138.0,33.25,"(16, 17, 18, 19, 20, 21, 22)",[1646 1794 2203 2624 2623 2081 1413],19.045717532802986,1.7642639543543304,182.07204008936688,418.04051352186065,True
0,139.0,33.5,"(17, 18, 19, 20, 21, 22, 23)",[1886 2198 2568 2631 2106 1432 1098],19.320901724496103,2.039448146047448,210.47104867209666,418.04051352186065,True
0,140.0,33.75,"(16, 17, 18, 19, 20, 21, 22)",[1669 1938 2295 2651 2631 1963 1227],18.870665932856365,1.5892123544077101,164.00671497487568,418.04051352186065,True
0,141.0,34.0,"(16, 17, 18, 19, 20, 21, 22)",[1784 1995 2416 2761 2568 1859 1215],18.750886283065178,1.4694327046165228,151.64545511642515,418.04051352186065,True
0,142.0,34.25,"(16, 17, 18, 19, 20, 21, 22)",[1876 2163 2506 2705 2455 1781 1177],18.581529028549536,1.3000754501008807,134.1677864504109,418.04051352186065,True
